Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
,1/2 femail ptf to 1/2 male ptf elbow,12 volt RO Boost Pump Elbow,Regular,,12032-ELBOW,These push to fit style elbow fittings are used on our 12 volt booster pumps. They are on both the Fill N Go systems as well as the 12 volt booster pump systems. They are sold individually.,Tucker > Accessories,Tucker,12 volt RO Boost Pump Elbow | Accessories | AZ Cleaning Supplies,These push to fit style elbow fittings are used on our 12 volt booster pumps. They are on both the Fill N Go systems as well as the 12 volt booster pump...,12-volt-ro-boost-pump-elbow,,Hidden,Physical,1.001,12 volt RO Boost Pump Elbow | Accessories | AZ Cleaning Supplies,These push to fit style elbow fittings are used on our 12 volt booster pumps. They are on both the Fill N Go systems as well as the 12 volt booster pump...,N,N,N,N,13.49,,N,Y,N,Y,N,,,9.45,Tucker,12032-ELBOW,N,,,N,,,Y,,,N,,13.49
,1/2 female x 3/4 female GHT,"1/2"" FNPT x FGH Swivel Inlet",Regular,,63009,"Need a replacement female garden hose inlet? 1/2"" female pipe thread x 3/4"" female garden hose swivel. This the inlet on the H2Pro and Max output.",Tucker > Catalog,Tucker,"1/2"" FNPT x FGH Swivel Inlet | Catalog | AZ Cleaning Supplies","Need a replacement female garden hose inlet? 1/2"" female pipe thread x 3/4"" female garden hose swivel. This the inlet on the H2Pro and Max output. Available...",1-2-fnpt-x-fgh-swivel-inlet,,Hidden,Physical,1.001,"1/2"" FNPT x FGH Swivel Inlet | Catalog | AZ Cleaning Supplies","Need a replacement female garden hose inlet? 1/2"" female pipe thread x 3/4"" female garden hose swivel. This the inlet on the H2Pro and Max output. Available...",N,N,N,N,13.67,,N,Y,N,Y,N,,,9.57,Tucker,63009,N,,,N,,,Y,,,N,,13.67
,1/2 female x 3/4 male GHT,"Outlet 1/2"" FNPT x 3/4"" MGHT",Regular,,63010,"This brass fitting is found on many Tucker® water fed pole systems. 1/2"" female NPT x 3/4"" male NPT. Outlet for the Tucker® 4060, H2Pro and Max Output.",Tucker > Catalog,Tucker,"Outlet 1/2"" FNPT x 3/4"" MGHT | Catalog | AZ Cleaning Supplies","This brass fitting is found on many Tucker® water fed pole systems. 1/2"" female NPT x 3/4"" male NPT. Outlet for the Tucker® 4060, H2Pro and Max Output....",1-2-fnpt-x-3-4-mght,,Hidden,Physical,1.001,"Outlet 1/2"" FNPT x 3/4"" MGHT | Catalog | AZ Cleaning Supplies","This brass fitting is found on many Tucker® water fed pole systems. 1/2"" female NPT x 3/4"" male NPT. Outlet for the Tucker® 4060, H2Pro and Max Output....",N,N,N,N,7.55,,N,Y,N,Y,N,,,5.29,Tucker,63010,N,,,N,,,Y,,,N,,7.55
,1/2 FNPT Line Strainer 80mesh,1/2 FNPT Line Strainer 80mesh,Regular,,62039,1/2 FNPT Line Strainer 80mesh | Official Tucker SKU: 62039 | Category: Catalog,Tucker > Catalog,Tucker,1/2 FNPT Line Strainer 80mesh | Catalog | AZ Cleaning Supplies,1/2 FNPT Line Strainer 80mesh. Category: Catalog. Vendor code: 62039. Available at AZ Cleaning Supplies.,1-2-fnpt-line-strainer-80mesh,,Hidden,Physical,,1/2 FNPT Line Strainer 80mesh | Catalog | AZ Cleaning Supplies,1/2 FNPT Line Strainer 80mesh. Category: Catalog. Vendor code: 62039. Available at AZ Cleaning Supplies.,N,N,N,N,39.66,,N,Y,N,Y,N,,,27.77,Tucker,62039,N,,,N,,,Y,,,N,,39.66
,1/2 hp Motor Dual Phase,1/2 hp Motor Dual Phase,Regular,,12023,1/2 hp Motor Dual Phase | Official Tucker SKU: 12023 | Category: Catalog,Tucker > Catalog,Tucker,1/2 hp Motor Dual Phase | Catalog | AZ Cleaning Supplies,1/2 hp Motor Dual Phase. Category: Catalog. Vendor code: 12023. Available at AZ Cleaning Supplies.,1-2-hp-motor-dual-phase,,Hidden,Physical,,1/2 hp Motor Dual Phase | Catalog | AZ Cleaning Supplies,1/2 hp Motor Dual Phase. Category: Catalog. Vendor code: 12023. Available at AZ Cleaning Supplies.,N,N,N,N,444.16,,N,Y,N,Y,N,,,310.91,Tucker,12023,N,,,N,,,Y,,,N,,444.16
,1/2 male thread x 1/2 PTF Metal,1/2 male thread x 1/2 PTF Metal,Regular,,62002-M,"This fitting is used on nearly all our water fed pole systems. It is 1/2"" male NPT x 1/2"" push to fit. Works with our 1/2"" Tuff tubing. If you are replacing a filter housing, you will also need these fittings for the inlets and outlets of the housing.",Tucker > Catalog,Tucker,1/2 male thread x 1/2 PTF Metal | Catalog | AZ Cleaning Supplies,"This fitting is used on nearly all our water fed pole systems. It is 1/2"" male NPT x 1/2"" push to fit. Works with our 1/2"" Tuff tubing. If you are replacing...",1-2-mpt-x-1-2-ptf,,Hidden,Physical,1.001,1/2 male thread x 1/2 PTF Metal | Catalog | AZ Cleaning Supplies,"This fitting is used on nearly all our water fed pole systems. It is 1/2"" male NPT x 1/2"" push to fit. Works with our 1/2"" Tuff tubing. If you are replacing...",N,N,N,N,9.57,,N,Y,N,Y,N,,,6.70,Tucker,62002-M,N,,,N,,,Y,,,N,,9.57
,1/2 male thread x 1/2 PTF Plastic,1/2 male thread x 1/2 PTF Plastic,Regular,,62002-P,"This fitting is used on nearly all our water fed pole systems. Works with our 1/2"" Tuff tubing. If you are replacing a filter housing you will also need these fittings for the inlets and outlets of the housing. 1/2"" male pipe thread x 1/2"" push to fit",Tucker > Catalog,Tucker,1/2 male thread x 1/2 PTF Plastic | Catalog | AZ Cleaning Supplies,"This fitting is used on nearly all our water fed pole systems. Works with our 1/2"" Tuff tubing. If you are replacing a filter housing you will also need...",1-2-mpt-x-1-2-ptf-plastic,,Hidden,Physical,1.001,1/2 male thread x 1/2 PTF Plastic | Catalog | AZ Cleaning Supplies,"This fitting is used on nearly all our water fed pole systems. Works with our 1/2"" Tuff tubing. If you are replacing a filter housing you will also need...",N,N,N,N,9.57,,N,Y,N,Y,N,,,6.70,Tucker,62002-P,N,,,N,,,Y,,,N,,9.57
,1/2 male thread x 3/4 male GHT Brass,"1/2"" MNPT x 3/4"" MGHT",Regular,,63008,"Looking for a replacement outlet fitting? This is the outlet fitting on the Tucker® DI System. 1/2"" male NPT x 3/4"" Male Garden hose thread.",Tucker > Catalog,Tucker,"1/2"" MNPT x 3/4"" MGHT | Catalog | AZ Cleaning Supplies","Looking for a replacement outlet fitting? This is the outlet fitting on the Tucker® DI System. 1/2"" male NPT x 3/4"" Male Garden hose thread. Available at AZ...",1-2-mnpt-x-3-4-mght,,Hidden,Physical,1.001,"1/2"" MNPT x 3/4"" MGHT | Catalog | AZ Cleaning Supplies","Looking for a replacement outlet fitting? This is the outlet fitting on the Tucker® DI System. 1/2"" male NPT x 3/4"" Male Garden hose thread. Available at AZ...",N,N,N,N,11.47,,N,Y,N,Y,N,,,8.03,Tucker,63008,N,,,N,,,Y,,,N,,11.47
,1/2 Male Thread x 3/8 PTF,1/2 Male Thread x 3/8 PTF,Regular,,62028,1/2 Male Thread x 3/8 PTF | Official Tucker SKU: 62028 | Category: Catalog,Tucker > Catalog,Tucker,1/2 Male Thread x 3/8 PTF | Catalog | AZ Cleaning Supplies,1/2 Male Thread x 3/8 PTF. Category: Catalog. Vendor code: 62028. Available at AZ Cleaning Supplies.,1-2-male-thread-x-3-8-ptf,,Hidden,Physical,,1/2 Male Thread x 3/8 PTF | Catalog | AZ Cleaning Supplies,1/2 Male Thread x 3/8 PTF. Category: Catalog. Vendor code: 62028. Available at AZ Cleaning Supplies.,N,N,N,N,8.19,,N,Y,N,Y,N,,,5.74,Tucker,62028,N,,,N,,,Y,,,N,,8.19
,1/2 male x 3/8 ptf elbow reducer GAM,1/2 male x 3/8 ptf elbow reducer GAM,Regular,,62013,1/2 male x 3/8 ptf elbow reducer GAM | Official Tucker SKU: 62013 | Category: Accessories,Tucker > Accessories,Tucker,1/2 male x 3/8 ptf elbow reducer GAM | Accessories | AZ Cleaning Supplies,1/2 male x 3/8 ptf elbow reducer GAM. Category: Accessories. Vendor code: 62013. Available at AZ Cleaning Supplies.,1-2-male-x-3-8-ptf-elbow-reducer-gam,,Hidden,Physical,,1/2 male x 3/8 ptf elbow reducer GAM | Accessories | AZ Cleaning Supplies,1/2 male x 3/8 ptf elbow reducer GAM. Category: Accessories. Vendor code: 62013. Available at AZ Cleaning Supplies.,N,N,N,N,4.79,,N,Y,N,Y,N,,,3.35,Tucker,62013,N,,,N,,,Y,,,N,,4.79
,1/2 MPT X FGH Swivel,"1/2"" MPT X FGH Swivel Inlet",Regular,,63032,"Need a new inlet fitting for your Tucker® system? This is utilized on the Tucker® RO/DI and Tucker® DI Systems. 1/2"" male NPT x 3/4"" female garden hose swivel. This is the inlet on the blue and clear carbon housing.",Tucker > Catalog,Tucker,"1/2"" MPT X FGH Swivel Inlet | Catalog | AZ Cleaning Supplies","Need a new inlet fitting for your Tucker® system? This is utilized on the Tucker® RO/DI and Tucker® DI Systems. 1/2"" male NPT x 3/4"" female garden hose...",1-2-mpt-x-fgh-swivel-inlet,,Hidden,Physical,1.001,"1/2"" MPT X FGH Swivel Inlet | Catalog | AZ Cleaning Supplies","Need a new inlet fitting for your Tucker® system? This is utilized on the Tucker® RO/DI and Tucker® DI Systems. 1/2"" male NPT x 3/4"" female garden hose...",N,N,N,N,16.47,,N,Y,N,Y,N,,,11.53,Tucker,63032,N,,,N,,,Y,,,N,,16.47
,1/2 NPT x 1/2 Barb,1/2 NPT x 1/2 Barb,Regular,,62035,1/2 NPT x 1/2 Barb | Official Tucker SKU: 62035 | Category: Catalog,Tucker > Catalog,Tucker,1/2 NPT x 1/2 Barb | Catalog | AZ Cleaning Supplies,1/2 NPT x 1/2 Barb. Category: Catalog. Vendor code: 62035. Available at AZ Cleaning Supplies.,1-2-npt-x-1-2-barb,,Hidden,Physical,,1/2 NPT x 1/2 Barb | Catalog | AZ Cleaning Supplies,1/2 NPT x 1/2 Barb. Category: Catalog. Vendor code: 62035. Available at AZ Cleaning Supplies.,N,N,N,N,5.28,,N,Y,N,Y,N,,,3.70,Tucker,62035,N,,,N,,,Y,,,N,,5.28
,1/2 Plug for PTF,1/2 Plug for PTF,Regular,,62003,1/2 Plug for PTF | Official Tucker SKU: 62003 | Category: Catalog,Tucker > Catalog,Tucker,1/2 Plug for PTF | Catalog | AZ Cleaning Supplies,1/2 Plug for PTF. Category: Catalog. Vendor code: 62003. Available at AZ Cleaning Supplies.,1-2-plug-for-ptf,,Hidden,Physical,,1/2 Plug for PTF | Catalog | AZ Cleaning Supplies,1/2 Plug for PTF. Category: Catalog. Vendor code: 62003. Available at AZ Cleaning Supplies.,N,N,N,N,2.73,,N,Y,N,Y,N,,,1.91,Tucker,62003,N,,,N,,,Y,,,N,,2.73
,1/2 PTF Bulkhead,1/2 PTF Bulkhead,Regular,,62038,1/2 PTF Bulkhead | Official Tucker SKU: 62038 | Category: Catalog,Tucker > Catalog,Tucker,1/2 PTF Bulkhead | Catalog | AZ Cleaning Supplies,1/2 PTF Bulkhead. Category: Catalog. Vendor code: 62038. Available at AZ Cleaning Supplies.,1-2-ptf-bulkhead,,Hidden,Physical,,1/2 PTF Bulkhead | Catalog | AZ Cleaning Supplies,1/2 PTF Bulkhead. Category: Catalog. Vendor code: 62038. Available at AZ Cleaning Supplies.,N,N,N,N,18.94,,N,Y,N,Y,N,,,13.26,Tucker,62038,N,,,N,,,Y,,,N,,18.94
,1/2' PTF Tee Fitting,1/2' PTF Tee Fitting,Regular,,62004,"Looking for the TEE fitting from your Tucker® System? This is it. 1/2"" tee fitting.",Tucker > Accessories,Tucker,1/2' PTF Tee Fitting | Accessories | AZ Cleaning Supplies,"Looking for the TEE fitting from your Tucker® System? This is it. 1/2"" tee fitting. Available at AZ Cleaning Supplies.",1-2-ptf-tee-fitting,,Hidden,Physical,1.001,1/2' PTF Tee Fitting | Accessories | AZ Cleaning Supplies,"Looking for the TEE fitting from your Tucker® System? This is it. 1/2"" tee fitting. Available at AZ Cleaning Supplies.",N,N,N,N,10.93,,N,Y,N,Y,N,,,7.65,Tucker,62004,N,,,N,,,Y,,,N,,10.93
,1/2 x 1/2 PTF 90deg Elbow,1/2 x 1/2 inch 90 degree elbow,Regular,,62018,"This fitting accepts the common 1/2"" tubing used on many Tucker® water fed systems. It is a 90 degree elbow.",Tucker > Accessories,Tucker,1/2 x 1/2 inch 90 degree elbow | Accessories | AZ Cleaning Supplies,"This fitting accepts the common 1/2"" tubing used on many Tucker® water fed systems. It is a 90 degree elbow. Available at AZ Cleaning Supplies.",1-2-x-1-2-inch-90-degree-elbow,,Hidden,Physical,0.624,1/2 x 1/2 inch 90 degree elbow | Accessories | AZ Cleaning Supplies,"This fitting accepts the common 1/2"" tubing used on many Tucker® water fed systems. It is a 90 degree elbow. Available at AZ Cleaning Supplies.",N,N,N,N,15.82,,N,Y,N,Y,N,,,11.08,Tucker,62018,N,,,N,,,Y,,,N,,15.82
,1/2 x 1/2 Tee w/ 1/4 female thread,1/2 x 1/2 Tee w/1/4 female thread,Regular,,62005-TH,This 1/2 x 1/2 Tee with a 1/4 female thread is a durable plastic fitting designed specifically for use with the pressure gauges used on most of our RO/DI Systems.,Tucker > Accessories,Tucker,1/2 x 1/2 Tee w/1/4 female thread | Accessories | AZ Cleaning Supplies,This 1/2 x 1/2 Tee with a 1/4 female thread is a durable plastic fitting designed specifically for use with the pressure gauges used on most of our RO/DI...,1-2-x-1-2-tee-w-1-4-female-thread,,Hidden,Physical,0.099,1/2 x 1/2 Tee w/1/4 female thread | Accessories | AZ Cleaning Supplies,This 1/2 x 1/2 Tee with a 1/4 female thread is a durable plastic fitting designed specifically for use with the pressure gauges used on most of our RO/DI...,N,N,N,N,9.57,,N,Y,N,Y,N,,,6.70,Tucker,62005-TH,N,,,N,,,Y,,,N,,9.57
,1/2 x 1/4 Hex Bushing,1/2 x 1/4 Hex Bushing,Regular,,63018,1/2 x 1/4 Hex Bushing | Official Tucker SKU: 63018 | Category: Catalog,Tucker > Catalog,Tucker,1/2 x 1/4 Hex Bushing | Catalog | AZ Cleaning Supplies,1/2 x 1/4 Hex Bushing. Category: Catalog. Vendor code: 63018. Available at AZ Cleaning Supplies.,1-2-x-1-4-hex-bushing,,Hidden,Physical,,1/2 x 1/4 Hex Bushing | Catalog | AZ Cleaning Supplies,1/2 x 1/4 Hex Bushing. Category: Catalog. Vendor code: 63018. Available at AZ Cleaning Supplies.,N,N,N,N,2.40,,N,Y,N,Y,N,,,1.68,Tucker,63018,N,,,N,,,Y,,,N,,2.40
,1/2 x 3/8 PTF Tee,1/2 x 3/8 PTF Tee,Regular,,62005,1/2 x 3/8 PTF Tee | Official Tucker SKU: 62005 | Category: Accessories,Tucker > Accessories,Tucker,1/2 x 3/8 PTF Tee | Accessories | AZ Cleaning Supplies,1/2 x 3/8 PTF Tee. Category: Accessories. Vendor code: 62005. Available at AZ Cleaning Supplies.,1-2-x-3-8-ptf-tee,,Hidden,Physical,,1/2 x 3/8 PTF Tee | Accessories | AZ Cleaning Supplies,1/2 x 3/8 PTF Tee. Category: Accessories. Vendor code: 62005. Available at AZ Cleaning Supplies.,N,N,N,N,9.57,,N,Y,N,Y,N,,,6.70,Tucker,62005,N,,,N,,,Y,,,N,,9.57
,1/2 Y Divider,1/2 x 1/2 inch Y Divider Splitter,Regular,,62007,This is a 1/2 x 1/2 x 1/2 inch Y divider commonly used on Tucker® water fed pole systems to split water from one tube off to 2 tubes.,Tucker > Catalog,Tucker,1/2 x 1/2 inch Y Divider Splitter | Catalog | AZ Cleaning Supplies,This is a 1/2 x 1/2 x 1/2 inch Y divider commonly used on Tucker® water fed pole systems to split water from one tube off to 2 tubes. Available at AZ...,1-2-x-1-2-inch-y-divider-splitter,,Hidden,Physical,0.624,1/2 x 1/2 inch Y Divider Splitter | Catalog | AZ Cleaning Supplies,This is a 1/2 x 1/2 x 1/2 inch Y divider commonly used on Tucker® water fed pole systems to split water from one tube off to 2 tubes. Available at AZ...,N,N,N,N,8.89,,N,Y,N,Y,N,,,6.23,Tucker,62007,N,,,N,,,Y,,,N,,8.89
,"1/2"" male NPT x 1/2"" PTF swiveling Elbow","1/2"" Male NPT x 1/2"" PTF Swiveling Elbow",Regular,,62051,"This is a replacement nickel plated brass swiveling elbow fitting. Found on many of Tucker® systems. 1/2"" male NPT x 1/2"" push to fit",Tucker > Accessories,Tucker,"1/2"" Male NPT x 1/2"" PTF Swiveling Elbow | Accessories | AZ Cleaning Supplies","This is a replacement nickel plated brass swiveling elbow fitting. Found on many of Tucker® systems. 1/2"" male NPT x 1/2"" push to fit Available at AZ...",1-2-male-npt-x-1-2-ptf-swiveling-elbow,,Hidden,Physical,1.001,"1/2"" Male NPT x 1/2"" PTF Swiveling Elbow | Accessories | AZ Cleaning Supplies","This is a replacement nickel plated brass swiveling elbow fitting. Found on many of Tucker® systems. 1/2"" male NPT x 1/2"" push to fit Available at AZ...",N,N,N,N,16.66,,N,Y,N,Y,N,,,11.67,Tucker,62051,N,,,N,,,Y,,,N,,16.66
,"1/2"" X 1/2"" Brass RISER","1/2"" X 1/2"" Brass RISER",Regular,,63045,"1/2"" X 1/2"" Brass RISER | Official Tucker SKU: 63045 | Category: Catalog",Tucker > Catalog,Tucker,"1/2"" X 1/2"" Brass RISER | Catalog | AZ Cleaning Supplies","1/2"" X 1/2"" Brass RISER. Category: Catalog. Vendor code: 63045. Available at AZ Cleaning Supplies.",1-2-x-1-2-brass-riser,,Hidden,Physical,1.001,"1/2"" X 1/2"" Brass RISER | Catalog | AZ Cleaning Supplies","1/2"" X 1/2"" Brass RISER. Category: Catalog. Vendor code: 63045. Available at AZ Cleaning Supplies.",N,N,N,N,7.56,,N,Y,N,Y,N,,,5.30,Tucker,63045,N,,,N,,,Y,,,N,,7.56
,1/2in stem x 1/2in ptf metal ELBOW,"1/2"" Stem x 1/2"" PTF Elbow - Metal",Regular,,62001-M,"Replacement 90 degree elbow for the Tucker® RO/DI Carts and Fill N Go Systems. Metal and much stronger than the plastic alternative. 1/2"" stem x 1/2"" female NPT.",Tucker > Accessories,Tucker,"1/2"" Stem x 1/2"" PTF Elbow - Metal | Accessories | AZ Cleaning Supplies","Replacement 90 degree elbow for the Tucker® RO/DI Carts and Fill N Go Systems. Metal and much stronger than the plastic alternative. 1/2"" stem x 1/2"" female...",1-2-stem-x-1-2-ptf-elbow-metal,,Hidden,Physical,1.001,"1/2"" Stem x 1/2"" PTF Elbow - Metal | Accessories | AZ Cleaning Supplies","Replacement 90 degree elbow for the Tucker® RO/DI Carts and Fill N Go Systems. Metal and much stronger than the plastic alternative. 1/2"" stem x 1/2"" female...",N,N,N,N,12.02,,N,Y,N,Y,N,,,8.42,Tucker,62001-M,N,,,N,,,Y,,,N,,12.02
,1/2in stem x 1/2in ptf Plastic ELBOW,"1/2"" Stem x 1/2"" PTF Elbow",Regular,,62001,"This elbow is used on the many of the Tucker® water fed pole systems. 1/2"" stem x 1/2"" female push to fit. Works with Tucker® 1/2"" tuff tubing.",Tucker > Accessories,Tucker,"1/2"" Stem x 1/2"" PTF Elbow | Accessories | AZ Cleaning Supplies","This elbow is used on the many of the Tucker® water fed pole systems. 1/2"" stem x 1/2"" female push to fit. Works with Tucker® 1/2"" tuff tubing. Available at...",1-2-stem-x-1-2-ptf-elbow,,Hidden,Physical,1.001,"1/2"" Stem x 1/2"" PTF Elbow | Accessories | AZ Cleaning Supplies","This elbow is used on the many of the Tucker® water fed pole systems. 1/2"" stem x 1/2"" female push to fit. Works with Tucker® 1/2"" tuff tubing. Available at...",N,N,N,N,10.93,,N,Y,N,Y,N,,,7.65,Tucker,62001,N,,,N,,,Y,,,N,,10.93
,1/2in Brass Threaded Coupling,1/2in Brass Threaded Coupling,Regular,,63028,1/2in Brass Threaded Coupling | Official Tucker SKU: 63028 | Category: Catalog,Tucker > Catalog,Tucker,1/2in Brass Threaded Coupling | Catalog | AZ Cleaning Supplies,1/2in Brass Threaded Coupling. Category: Catalog. Vendor code: 63028. Available at AZ Cleaning Supplies.,1-2in-brass-threaded-coupling,,Hidden,Physical,,1/2in Brass Threaded Coupling | Catalog | AZ Cleaning Supplies,1/2in Brass Threaded Coupling. Category: Catalog. Vendor code: 63028. Available at AZ Cleaning Supplies.,N,N,N,N,4.79,,N,Y,N,Y,N,,,3.35,Tucker,63028,N,,,N,,,Y,,,N,,4.79
,1/2in male thread x 1/2in PTF Elbow,1/2in male thread x 1/2in PTF Elbow,Regular,,62010,1/2in male thread x 1/2in PTF Elbow | Official Tucker SKU: 62010 | Category: Accessories,Tucker > Accessories,Tucker,1/2in male thread x 1/2in PTF Elbow | Accessories | AZ Cleaning Supplies,1/2in male thread x 1/2in PTF Elbow. Category: Accessories. Vendor code: 62010. Available at AZ Cleaning Supplies.,1-2in-male-thread-x-1-2in-ptf-elbow,,Hidden,Physical,,1/2in male thread x 1/2in PTF Elbow | Accessories | AZ Cleaning Supplies,1/2in male thread x 1/2in PTF Elbow. Category: Accessories. Vendor code: 62010. Available at AZ Cleaning Supplies.,N,N,N,N,11.29,,N,Y,N,Y,N,,,7.90,Tucker,62010,N,,,N,,,Y,,,N,,11.29
,1/2in O-Ring for RO Membranes,1/2in O-Ring for RO Membranes,Regular,,21010,1/2in O-Ring for RO Membranes | Official Tucker SKU: 21010 | Category: Pure Water Systems,Tucker > Pure Water Systems,Tucker,1/2in O-Ring for RO Membranes | Pure Water Systems | AZ Cleaning Supplies,1/2in O-Ring for RO Membranes. Category: Pure Water Systems. Vendor code: 21010. Available at AZ Cleaning Supplies.,1-2in-o-ring-for-ro-membranes,,Hidden,Physical,,1/2in O-Ring for RO Membranes | Pure Water Systems | AZ Cleaning Supplies,1/2in O-Ring for RO Membranes. Category: Pure Water Systems. Vendor code: 21010. Available at AZ Cleaning Supplies.,N,N,N,N,0.41,,N,Y,N,Y,N,,,0.29,Tucker,21010,N,,,N,,,Y,,,N,,0.41
,1/2in Stem x 3/8in Barb 45 deg,1/2in Stem x 3/8in Barb 45 deg,Regular,,63031,1/2in Stem x 3/8in Barb 45 deg | Official Tucker SKU: 63031 | Category: Catalog,Tucker > Catalog,Tucker,1/2in Stem x 3/8in Barb 45 deg | Catalog | AZ Cleaning Supplies,1/2in Stem x 3/8in Barb 45 deg. Category: Catalog. Vendor code: 63031. Available at AZ Cleaning Supplies.,1-2in-stem-x-3-8in-barb-45-deg,,Hidden,Physical,0.5,1/2in Stem x 3/8in Barb 45 deg | Catalog | AZ Cleaning Supplies,1/2in Stem x 3/8in Barb 45 deg. Category: Catalog. Vendor code: 63031. Available at AZ Cleaning Supplies.,N,N,N,N,3.71,,N,Y,N,Y,N,,,2.60,Tucker,63031,N,,,N,,,Y,,,N,,3.71
,1/2in x 3/8in Brass Face Bushing,1/2in x 3/8in Brass Face Bushing,Regular,,63029,1/2in x 3/8in Brass Face Bushing | Official Tucker SKU: 63029 | Category: Catalog,Tucker > Catalog,Tucker,1/2in x 3/8in Brass Face Bushing | Catalog | AZ Cleaning Supplies,1/2in x 3/8in Brass Face Bushing. Category: Catalog. Vendor code: 63029. Available at AZ Cleaning Supplies.,1-2in-x-3-8in-brass-face-bushing,,Hidden,Physical,,1/2in x 3/8in Brass Face Bushing | Catalog | AZ Cleaning Supplies,1/2in x 3/8in Brass Face Bushing. Category: Catalog. Vendor code: 63029. Available at AZ Cleaning Supplies.,N,N,N,N,2.58,,N,Y,N,Y,N,,,1.81,Tucker,63029,N,,,N,,,Y,,,N,,2.58
,1/2x1/2x1/2 Stem Union T-Black,1/2x1/2x1/2 Stem Union T-Black,Regular,,63013,"This Tee fitting features 1/2"" x 1/2"" PTF x 1/2"" Stem. Used on our Tucker® Skid mount systems.",Tucker > Catalog,Tucker,1/2x1/2x1/2 Stem Union T-Black | Catalog | AZ Cleaning Supplies,"This Tee fitting features 1/2"" x 1/2"" PTF x 1/2"" Stem. Used on our Tucker® Skid mount systems. Available at AZ Cleaning Supplies.",1-2x1-2x1-2-stem-union-t-black,,Hidden,Physical,0.3,1/2x1/2x1/2 Stem Union T-Black | Catalog | AZ Cleaning Supplies,"This Tee fitting features 1/2"" x 1/2"" PTF x 1/2"" Stem. Used on our Tucker® Skid mount systems. Available at AZ Cleaning Supplies.",N,N,N,N,8.89,,N,Y,N,Y,N,,,6.23,Tucker,63013,N,,,N,,,Y,,,N,,8.89
,1/2x1/2x1/4 Tube Union Tee-Black,"1/2"" x 1/4"" Tee for TDS Meter Probes",Regular,,63015,"This is the fitting that goes on the end of the wiring of the inline TDS meters. It allows for attaching the 1/2"" water tubing to the meters.",Tucker > Accessories,Tucker,"1/2"" x 1/4"" Tee for TDS Meter Probes | Accessories | AZ Cleaning Supplies","This is the fitting that goes on the end of the wiring of the inline TDS meters. It allows for attaching the 1/2"" water tubing to the meters. Available at AZ...",1-2-x-1-4-tee-for-tds-meter-probes,,Hidden,Physical,1.001,"1/2"" x 1/4"" Tee for TDS Meter Probes | Accessories | AZ Cleaning Supplies","This is the fitting that goes on the end of the wiring of the inline TDS meters. It allows for attaching the 1/2"" water tubing to the meters. Available at AZ...",N,N,N,N,9.57,,N,Y,N,Y,N,,,6.70,Tucker,63015,N,,,N,,,Y,,,N,,9.57
,"1/4""M x 5/16"" PTF","1/4""M x 5/16"" PTF",Regular,,62056,"1/4""M x 5/16"" PTF | Official Tucker SKU: 62056 | Category: Catalog",Tucker > Catalog,Tucker,"1/4""M x 5/16"" PTF | Catalog | AZ Cleaning Supplies","1/4""M x 5/16"" PTF. Category: Catalog. Vendor code: 62056. Available at AZ Cleaning Supplies.",1-4-m-x-5-16-ptf,,Hidden,Physical,,"1/4""M x 5/16"" PTF | Catalog | AZ Cleaning Supplies","1/4""M x 5/16"" PTF. Category: Catalog. Vendor code: 62056. Available at AZ Cleaning Supplies.",N,N,N,N,3.93,,N,Y,N,Y,N,,,2.76,Tucker,62056,N,,,N,,,Y,,,N,,3.93
